series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s
F2,2018,J  Aitken,AIT,ART Grand Prix,12,32.0,2.6666666666666665,12.416666666666666,1,20,1,0.0833333333333333,1,0.0833333333333333,5.0,0.4166666666666667,5,0.4166666666666667,243.0,177.02690909090907,5.299371031861548,7.126561498217691,1.0,0.0833333333333333,104.5372
F2,2018,A  Albon,ALB,DAMS,12,99.0,8.25,8.0,1,18,1,0.0833333333333333,4,0.3333333333333333,8.0,0.6666666666666666,8,0.6666666666666666,266.0,178.44908333333333,5.688904671695278,8.367958369442768,1.0,0.0833333333333333,104.889
F2,2018,D  Boccolacci,BOC,MP Motorsport,4,10.0,2.5,11.0,7,18,0,0.0,0,0.0,2.0,0.5,2,0.5,81.0,184.133,4.96655480858378,3.0,0.0,0.0,112.331
F2,2018,R  Boschung,BOS,MP Motorsport,10,12.0,1.2,13.7,7,19,0,0.0,0,0.0,3.0,0.3,3,0.3,177.0,180.4228888888889,4.4234225060089685,2.14993539954628,3.0,0.3,104.11725
F2,2018,L  Delétraz,DEL,Charouz Racing System,12,41.0,3.4166666666666665,9.916666666666666,2,19,0,0.0,1,0.0833333333333333,6.0,0.5,6,0.5,269.0,177.896,4.35802985790876,5.696224161404614,1.0,0.0833333333333333,105.23781818181818
F2,2018,N  de Vries,DEV,PERTAMINA PREMA Theodore Racing,12,98.0,8.166666666666666,8.25,1,20,1,0.0833333333333333,2,0.1666666666666666,8.0,0.6666666666666666,8,0.6666666666666666,246.0,176.36266666666666,6.136700327463524,7.613783354528612,1.0,0.0833333333333333,105.80230000000002
F2,2018,S  Ferrucci,FER,Trident,7,39.0,5.571428571428571,9.857142857142858,1,20,1,0.1428571428571428,1,0.1428571428571428,4.0,0.5714285714285714,4,0.5714285714285714,167.0,175.41285714285712,6.011892975000232,8.978811035936085,1.0,0.1428571428571428,102.30116666666667
F2,2018,N  Fukuzumi,FUK,BWT Arden,12,20.0,1.6666666666666667,12.5,6,20,0,0.0,0,0.0,4.0,0.3333333333333333,4,0.3333333333333333,229.0,174.232,4.542726454054177,2.806917861068948,1.0,0.0833333333333333,106.7498
F2,2018,A  Fuoco,FUO,Charouz Racing System,12,58.0,4.833333333333333,11.75,1,20,1,0.0833333333333333,1,0.0833333333333333,6.0,0.5,6,0.5,237.0,177.52936363636363,6.890375369112537,7.825753908884706,1.0,0.0833333333333333,103.2855
F2,2018,S  Gelael,GEL,PERTAMINA PREMA Theodore Racing,12,20.0,1.6666666666666667,14.916666666666666,4,20,0,0.0,0,0.0,2.0,0.1666666666666666,2,0.1666666666666666,203.0,175.97281818181818,5.501377238033356,3.984819679582487,5.0,0.4166666666666667,103.958
F2,2018,L  Ghiotto,GHI,Campos Vexatec Racing,12,70.0,5.833333333333333,8.416666666666666,2,15,0,0.0,2,0.1666666666666666,8.0,0.6666666666666666,8,0.6666666666666666,272.0,178.04591666666667,4.378840305862092,6.307763374436203,0.0,0.0,104.9108181818182
F2,2018,M  Günther,GUN,BWT Arden,11,48.0,4.363636363636363,11.090909090909092,1,18,1,0.0909090909090909,2,0.1818181818181818,4.0,0.3636363636363636,4,0.3636363636363636,240.0,177.911,5.629467922540202,8.697962143775142,2.0,0.1818181818181818,103.9192
F2,2018,N  Kari,KAR,MP Motorsport,2,0.0,0.0,17.5,17,18,0,0.0,0,0.0,0.0,0.0,0,0.0,11.0,150.2175,0.7071067811865476,0.0,2.0,1.0,113.398
F2,2018,N  Latifi,LAT,DAMS,12,72.0,6.0,9.583333333333334,1,19,1,0.0833333333333333,1,0.0833333333333333,8.0,0.6666666666666666,8,0.6666666666666666,254.0,179.65536363636363,5.86915408700178,7.567874686642695,1.0,0.0833333333333333,104.2741
F2,2018,A  Lorandi,LOR,Trident,5,0.0,0.0,16.2,12,20,0,0.0,0,0.0,0.0,0.0,0,0.0,60.0,190.99133333333336,3.63318042491699,0.0,2.0,0.4,112.811
F2,2018,A  Maini,MAI,Trident,12,30.0,2.5,11.5,3,20,0,0.0,1,0.0833333333333333,5.0,0.4166666666666667,5,0.4166666666666667,255.0,179.00227272727273,4.5427264540541765,4.622081388685877,0.0,0.0,104.1009
F2,2018,T  Makino,MAK,RUSSIAN TIME,12,9.0,0.75,13.666666666666666,6,19,0,0.0,0,0.0,2.0,0.1666666666666666,2,0.1666666666666666,213.0,177.62654545454546,4.097301403104095,2.3011854652449344,3.0,0.25,104.9968
F2,2018,A  Markelov,MAR,RUSSIAN TIME,12,126.0,10.5,6.833333333333333,1,19,2,0.1666666666666666,4,0.3333333333333333,9.0,0.75,9,0.75,255.0,172.24058333333335,5.812734192088847,9.33712044378877,2.0,0.1666666666666666,103.3721
F2,2018,R  Merhi,MER,MP Motorsport,10,39.0,3.9,10.6,3,18,0,0.0,1,0.1,5.0,0.5,5,0.5,225.0,171.2522,5.189733454940951,5.342700108039421,1.0,0.1,103.88877777777778
F2,2018,R  Nissany,NIS,Campos Vexatec Racing,10,3.0,0.3,14.2,9,18,0,0.0,0,0.0,2.0,0.2,2,0.2,214.0,173.79680000000002,2.780887148615228,0.6749485577105528,1.0,0.1,114.73088888888888
F2,2018,L  Norris,NOR,Carlin,12,128.0,10.666666666666666,5.5,2,16,0,0.0,4,0.3333333333333333,10.0,0.8333333333333334,10,0.8333333333333334,270.0,179.33450000000002,4.0787698680317375,5.913518155015419,1.0,0.0833333333333333,104.55790909090908
F2,2018,G  Russell,RUS,ART Grand Prix,12,145.0,12.083333333333334,7.166666666666667,1,20,3,0.25,5,0.4166666666666667,9.0,0.75,9,0.75,250.0,174.87816666666666,7.321615983241719,10.0494987060263,0.0,0.0,104.0701818181818
F2,2018,S  Sette Câmara,SET,Carlin,12,113.0,9.416666666666666,6.916666666666667,2,18,0,0.0,6,0.5,10.0,0.8333333333333334,10,0.8333333333333334,261.0,178.47491666666667,5.63202423376329,7.3169583016359185,2.0,0.1666666666666666,104.80372727272726
F2,2018,D  Ticktum,TIC,BWT Arden,1,0.0,0.0,16.0,16,16,0,0.0,0,0.0,0.0,0.0,0,0.0,3.0,132.128,,,1.0,1.0,162.528
